system;context;classification;statistics;value
slepemapy;Africa-state;correct;wfreq;0.0
slepemapy;Africa-state;cwa;wfreq;0.20945144950964545
slepemapy;Africa-state;missing;wfreq;0.1728095699967669
slepemapy;Africa-state;other;wfreq;0.45347020153033735
slepemapy;Africa-state;topcwa;wfreq;0.16426877896325034
slepemapy;Africa-state;correct;rtime;3.675
slepemapy;Africa-state;cwa;rtime;5.1655
slepemapy;Africa-state;missing;rtime;4.3895
slepemapy;Africa-state;other;rtime;5.836
slepemapy;Africa-state;topcwa;rtime;4.768
slepemapy;Africa-state;correct;successN;0.8845329349097051
slepemapy;Africa-state;cwa;successN;0.6287067032145527
slepemapy;Africa-state;missing;successN;0.45081704581864784
slepemapy;Africa-state;other;successN;0.5188654353562006
slepemapy;Africa-state;topcwa;successN;0.7103859428930028
slepemapy;Africa-state;correct;successG;0.7631788456070515
slepemapy;Africa-state;cwa;successG;0.571078431372549
slepemapy;Africa-state;missing;successG;0.43008967120557956
slepemapy;Africa-state;other;successG;0.45425847184641155
slepemapy;Africa-state;topcwa;successG;0.62
slepemapy;Africa-state;correct;leave;0.009604814774101352
slepemapy;Africa-state;cwa;leave;0.016979675842552097
slepemapy;Africa-state;missing;leave;0.01777362020579981
slepemapy;Africa-state;other;leave;0.018121323747846235
slepemapy;Africa-state;topcwa;leave;0.01361325241922257
slepemapy;Africa-state;correct;repetition;0.8845329349097051
slepemapy;Africa-state;cwa;repetition;0.10142038375280339
slepemapy;Africa-state;missing;repetition;0.28708747196411405
slepemapy;Africa-state;other;repetition;0.04472295514511873
slepemapy;Africa-state;topcwa;repetition;0.13147160338876687
slepemapy;World-state;correct;freq;0.6065237927227616
slepemapy;World-state;cwa;freq;0.09193858620807394
slepemapy;World-state;missing;freq;0.07565186711129827
slepemapy;World-state;other;freq;0.15943002173838816
slepemapy;World-state;topcwa;freq;0.06645573221947805
slepemapy;World-state;correct;wfreq;0.0
slepemapy;World-state;cwa;wfreq;0.2336572949207451
slepemapy;World-state;missing;wfreq;0.1922654171005438
slepemapy;World-state;other;wfreq;0.40518338539858845
slepemapy;World-state;topcwa;wfreq;0.16889390258012263
slepemapy;World-state;correct;rtime;4.653
slepemapy;World-state;cwa;rtime;7.013
slepemapy;World-state;missing;rtime;6.966
slepemapy;World-state;other;rtime;7.114000000000001
slepemapy;World-state;topcwa;rtime;6.408
slepemapy;World-state;correct;successN;0.8980797636632201
slepemapy;World-state;cwa;successN;0.5848445595854922
slepemapy;World-state;missing;successN;0.4641873278236915
slepemapy;World-state;other;successN;0.45434397163120566
slepemapy;World-state;topcwa;successN;0.6897394136807817
slepemapy;World-state;correct;successG;0.7155039843422341
slepemapy;World-state;cwa;successG;0.5113866055787629
slepemapy;World-state;missing;successG;0.4584450402144772
slepemapy;World-state;other;successG;0.42831715210355986
slepemapy;World-state;topcwa;successG;0.5585451846353684
slepemapy;World-state;correct;leave;0.012853952825054887
slepemapy;World-state;cwa;leave;0.02327308739787076
slepemapy;World-state;missing;leave;0.02587633518880698
slepemapy;World-state;other;leave;0.02741290691033695
slepemapy;World-state;topcwa;leave;0.020893988696694638
slepemapy;World-state;correct;repetition;0.8980797636632201
slepemapy;World-state;cwa;repetition;0.10751295336787564
slepemapy;World-state;missing;repetition;0.2644628099173554
slepemapy;World-state;other;repetition;0.043882978723404256
slepemapy;World-state;topcwa;repetition;0.13192182410423453
